###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57412.373930  12.955  0.003 23880   73 o  0  28.36  90.26700 -18.96770  7729.10  3257.62 3.76 3.68  33.0 -0.505 18.35 19.24 02a57412o0246o
57412.375787  12.939  0.003 24244   77 o  0  24.11  90.26700 -18.96770  8036.72  1505.44 4.33 3.62   9.9 -0.545 18.35 19.24 02a57412o0249o
57416.326833  12.950  0.003 23987   60 o  0  69.15  90.26700 -18.96770  3274.44  7819.46 3.72 3.36 -78.6 -0.458 19.11 20.63 02a57416o0226o
57416.355874  12.937  0.003 24280   62 o  0  96.65  90.26700 -18.96770  8317.47  1719.42 3.92 3.42  16.5 -0.516 19.07 20.55 02a57416o0268o
57416.370039  12.943  0.003 24143   64 o  0  66.97  90.26700 -18.96770  8046.09  1509.98 3.99 3.47  11.8 -0.518 18.99 20.41 02a57416o0288o
57417.324755  12.940  0.003 24212   63 o  0  81.96  90.26700 -18.96770  7047.84  2458.19 3.88 3.48   7.7 -0.493 19.07 20.60 02a57417o0222o
57417.356627  12.941  0.003 24194   64 o  0  65.41  90.26700 -18.96770  7922.33  1292.91 4.11 3.49   9.1 -0.502 19.10 20.63 02a57417o0267o
57423.315040  13.443  0.003 15236   45 c  0  37.13  90.26700 -18.96770  6839.61  2508.79 4.03 3.79  10.8 -0.408 19.44 21.37 02a57423o0172c
57423.330141  13.449  0.003 15151   45 c  0  37.95  90.26700 -18.96770  6598.21  1933.92 4.11 3.82   0.3 -0.414 19.47 21.45 02a57423o0196c
57423.345975  13.445  0.003 15199   46 c  0  48.05  90.26700 -18.96770  7787.53  1347.35 4.07 3.74   8.7 -0.433 19.51 21.45 02a57423o0220c
57423.361428  13.438  0.003 15302   46 c  0  38.19  90.26700 -18.96770  8036.14  1465.78 4.02 3.75   9.7 -0.436 19.52 21.47 02a57423o0244c
57429.297052  13.445  0.003 15203   44 c  0  54.81  90.26700 -18.96770  6967.08  2553.39 4.35 3.90   6.1 -0.439 19.54 21.62 02a57429o0218c
57429.312435  13.428  0.003 15442   46 c  0  50.51  90.26700 -18.96770  6708.49  1978.69 4.50 3.87   3.2 -0.456 19.56 21.65 02a57429o0243c
57429.327864  13.438  0.003 15298   46 c  0  27.76  90.26700 -18.96770  7895.98  1391.95 4.66 3.97  11.7 -0.448 19.54 21.61 02a57429o0268c
57429.343261  13.426  0.003 15479   47 c  0  37.44  90.26700 -18.96770  8014.71  1473.02 4.55 3.80   9.8 -0.462 19.58 21.62 02a57429o0293c
57430.299839  13.437  0.003 15311   45 c  0  82.58  90.26700 -18.96770  6839.62  2347.41 4.16 3.68   6.2 -0.466 19.50 21.42 02a57430o0185c
57430.315252  13.435  0.003 15352   47 c  0  58.87  90.26700 -18.96770  6579.90  1773.08 4.17 3.88   8.4 -0.476 19.51 21.55 02a57430o0210c
57430.330685  13.430  0.003 15421   49 c  0  34.86  90.26700 -18.96770  7768.40  1186.37 4.25 3.98  22.1 -0.472 19.54 21.61 02a57430o0235c
57430.346086  13.435  0.003 15352   47 c  0  26.22  90.26700 -18.96770  8014.34  1460.85 4.34 4.20  26.5 -0.435 19.51 21.61 02a57430o0260c
57438.301731  12.942  0.003 24165   76 o  0  29.38  90.26700 -18.96770  7191.22  2677.63 4.00 3.68  19.5 -0.510 18.33 19.27 02a57438o0148o
57438.320134  12.944  0.003 24116   75 o  0  27.91  90.26700 -18.96770  6902.21  2095.64 3.64 3.56  88.0 -0.498 18.36 19.24 02a57438o0167o
57438.336134  12.937  0.003 24283   80 o  0  30.59  90.26700 -18.96770  8064.22  1508.07 3.71 3.48 -88.7 -0.491 18.33 19.18 02a57438o0198o
57438.351523  12.929  0.003 24447   81 o  0  27.75  90.26700 -18.96770  8009.77  1491.76 3.65 3.37 -86.1 -0.488 18.31 19.13 02a57438o0228o
57439.286011  12.945  0.003 24094   76 o  0  39.34  90.26700 -18.96770  7249.32  2443.45 4.07 3.52  11.1 -0.516 18.29 19.14 02a57439o0142o
57439.301721  12.921  0.003 24646   80 o  0  31.49  90.26700 -18.96770  6959.64  1864.18 4.30 3.53   6.7 -0.543 18.29 19.13 02a57439o0172o
57439.317972  12.897  0.003 25184   88 o  0  22.86  90.26700 -18.96770  8124.23  1273.49 4.39 3.60  14.0 -0.566 18.28 19.11 02a57439o0203o
57439.333738  12.911  0.004 24861   90 o  0  20.37  90.26700 -18.96770  8011.38  1490.28 4.38 3.54  12.6 -0.564 18.27 19.05 02a57439o0233o
57446.288172  12.925  0.003 24554   66 o  0 117.51  90.26700 -18.96770  7108.23  2755.43 3.72 3.47  84.9 -0.502 19.06 20.66 02a57446o0075o
57446.303713  12.919  0.003 24691   65 o  0 158.56  90.26700 -18.96770  6838.96  2173.83 3.62 3.58  26.5 -0.500 19.10 20.71 02a57446o0106o
57446.320234  12.893  0.003 25288   68 o  0 162.54  90.26700 -18.96770  7984.27  1583.77 3.67 3.55  29.9 -0.515 19.14 20.75 02a57446o0139o
57446.336780  12.914  0.003 24786   69 o  0 123.93  90.26700 -18.96770  8004.97  1486.45 3.87 3.50  11.9 -0.518 19.15 20.79 02a57446o0172o
57447.282200  12.932  0.003 24392   62 o  0 151.49  90.26700 -18.96770  7276.98  2886.38 3.95 3.69  13.3 -0.509 19.18 20.91 02a57447o0164o
